Data,Evento,Turno,Colaborador_ID
01/01/2026,QUI,Noite,10
03/01/2026,SI,Noite,22
04/01/2026,DM,Manhã,17
04/01/2026,DN,Noite,13
05/01/2026,SEG,Tarde,29
06/01/2026,TER,Tarde,7
07/01/2026,QUA,Noite,28
08/01/2026,QUI,Noite,11
10/01/2026,SP,Noite,25
11/01/2026,DM,Manhã,10
11/01/2026,DN,Noite,16
12/01/2026,SEG,Tarde,15
13/01/2026,TER,Tarde,21
14/01/2026,QUA,Noite,9
15/01/2026,QUI,Noite,28
17/01/2026,SI,Noite,18
18/01/2026,DM,Manhã,30
18/01/2026,DN,Noite,13
19/01/2026,SEG,Tarde,14
20/01/2026,TER,Tarde,29
21/01/2026,QUA,Noite,22
22/01/2026,QUI,Noite,23
24/01/2026,SP,Noite,28
25/01/2026,DM,Manhã,17
25/01/2026,DN,Noite,13
26/01/2026,SEG,Tarde,14
27/01/2026,TER,Tarde,18
28/01/2026,QUA,Noite,30
29/01/2026,QUI,Noite,11
31/01/2026,SP,Noite,28
01/02/2026,DM,Manhã,10
01/02/2026,DN,Noite,13
02/02/2026,SEG,Tarde,9
03/02/2026,TER,Tarde,7
04/02/2026,QUA,Noite,30
05/02/2026,QUI,Noite,17
07/02/2026,SI,Noite,22
08/02/2026,DM,Manhã,21
08/02/2026,DN,Noite,15
09/02/2026,SEG,Tarde,23
10/02/2026,TER,Tarde,10
11/02/2026,QUA,Noite,24
12/02/2026,QUI,Noite,11
14/02/2026,SP,Noite,21
15/02/2026,DM,Manhã,17
15/02/2026,DN,Noite,28
16/02/2026,SEG,Tarde,25
17/02/2026,TER,Tarde,8
18/02/2026,QUA,Noite,29
19/02/2026,QUI,Noite,11
21/02/2026,SI,Noite,18
22/02/2026,DM,Manhã,30
22/02/2026,DN,Noite,13
23/02/2026,SEG,Tarde,14
24/02/2026,TER,Tarde,6
25/02/2026,QUA,Noite,20
26/02/2026,QUI,Noite,17
28/02/2026,SP,Noite,10
01/03/2026,DM,Manhã,28
01/03/2026,DN,Noite,21
02/03/2026,SEG,Tarde,8
03/03/2026,TER,Tarde,7
04/03/2026,QUA,Noite,30
05/03/2026,QUI,Noite,11
07/03/2026,SI,Noite,14
08/03/2026,DM,Manhã,29
08/03/2026,DN,Noite,10
09/03/2026,SEG,Tarde,9
10/03/2026,TER,Tarde,8
11/03/2026,QUA,Noite,13
12/03/2026,QUI,Noite,11
14/03/2026,SP,Noite,25
15/03/2026,DM,Manhã,17
15/03/2026,DN,Noite,16
16/03/2026,SEG,Tarde,12
17/03/2026,TER,Tarde,6
18/03/2026,QUA,Noite,7
19/03/2026,QUI,Noite,8
21/03/2026,SI,Noite,13
22/03/2026,DM,Manhã,30
22/03/2026,DN,Noite,15
23/03/2026,SEG,Tarde,21
24/03/2026,TER,Tarde,25
25/03/2026,QUA,Noite,6
26/03/2026,QUI,Noite,11
28/03/2026,SP,Noite,17
29/03/2026,DM,Manhã,9
29/03/2026,DN,Noite,10
30/03/2026,SEG,Tarde,12
31/03/2026,TER,Tarde,21
01/04/2026,QUA,Noite,30
02/04/2026,QUI,Noite,11
04/04/2026,SI,Noite,17
05/04/2026,DM,Manhã,10
05/04/2026,DN,Noite,13
06/04/2026,SEG,Tarde,23
07/04/2026,TER,Tarde,20
08/04/2026,QUA,Noite,6
09/04/2026,QUI,Noite,11
11/04/2026,SP,Noite,15
12/04/2026,DM,Manhã,28
12/04/2026,DN,Noite,21
13/04/2026,SEG,Tarde,30
14/04/2026,TER,Tarde,17
15/04/2026,QUA,Noite,20
16/04/2026,QUI,Noite,16
18/04/2026,SI,Noite,7
19/04/2026,DM,Manhã,29
19/04/2026,DN,Noite,28
20/04/2026,SEG,Tarde,22
21/04/2026,TER,Tarde,23
22/04/2026,QUA,Noite,17
23/04/2026,QUI,Noite,16
25/04/2026,SP,Noite,13
26/04/2026,DM,Manhã,30
26/04/2026,DN,Noite,15
27/04/2026,SEG,Tarde,9
28/04/2026,TER,Tarde,28
29/04/2026,QUA,Noite,18
30/04/2026,QUI,Noite,17
02/05/2026,SI,Noite,22
03/05/2026,DM,Manhã,30
03/05/2026,DN,Noite,13
04/05/2026,SEG,Tarde,10
05/05/2026,TER,Tarde,18
06/05/2026,QUA,Noite,14
07/05/2026,QUI,Noite,16
09/05/2026,SP,Noite,12
10/05/2026,DM,Manhã,20
10/05/2026,DN,Noite,13
11/05/2026,SEG,Tarde,30
12/05/2026,TER,Tarde,21
13/05/2026,QUA,Noite,14
14/05/2026,QUI,Noite,23
16/05/2026,SI,Noite,29
17/05/2026,DM,Manhã,10
17/05/2026,DN,Noite,16
18/05/2026,SEG,Tarde,15
19/05/2026,TER,Tarde,28
20/05/2026,QUA,Noite,24
21/05/2026,QUI,Noite,17
23/05/2026,SP,Noite,12
24/05/2026,DM,Manhã,23
24/05/2026,DN,Noite,16
25/05/2026,SEG,Tarde,18
26/05/2026,TER,Tarde,28
27/05/2026,QUA,Noite,14
28/05/2026,QUI,Noite,11
30/05/2026,SP,Noite,27
31/05/2026,DM,Manhã,10
31/05/2026,DN,Noite,16
01/06/2026,SEG,Tarde,9
02/06/2026,TER,Tarde,29
03/06/2026,QUA,Noite,22
04/06/2026,QUI,Noite,17
06/06/2026,SI,Noite,23
07/06/2026,DM,Manhã,30
07/06/2026,DN,Noite,15
08/06/2026,SEG,Tarde,21
09/06/2026,TER,Tarde,28
10/06/2026,QUA,Noite,25
11/06/2026,QUI,Noite,17
13/06/2026,SP,Noite,10
14/06/2026,DM,Manhã,20
14/06/2026,DN,Noite,11
15/06/2026,SEG,Tarde,6
16/06/2026,TER,Tarde,7
17/06/2026,QUA,Noite,14
18/06/2026,QUI,Noite,17
20/06/2026,SI,Noite,10
21/06/2026,DM,Manhã,9
21/06/2026,DN,Noite,21
22/06/2026,SEG,Tarde,12
23/06/2026,TER,Tarde,28
24/06/2026,QUA,Noite,25
25/06/2026,QUI,Noite,8
27/06/2026,SP,Noite,29
28/06/2026,DM,Manhã,10
28/06/2026,DN,Noite,17
29/06/2026,SEG,Tarde,14
30/06/2026,TER,Tarde,18
01/07/2026,QUA,Noite,23
02/07/2026,QUI,Noite,13
04/07/2026,SI,Noite,20
05/07/2026,DM,Manhã,30
05/07/2026,DN,Noite,16
06/07/2026,SEG,Tarde,22
07/07/2026,TER,Tarde,7
08/07/2026,QUA,Noite,29
09/07/2026,QUI,Noite,11
11/07/2026,SP,Noite,12
12/07/2026,DM,Manhã,9
12/07/2026,DN,Noite,10
13/07/2026,SEG,Tarde,30
14/07/2026,TER,Tarde,28
15/07/2026,QUA,Noite,14
16/07/2026,QUI,Noite,15
18/07/2026,SI,Noite,29
19/07/2026,DM,Manhã,10
19/07/2026,DN,Noite,13
20/07/2026,SEG,Tarde,12
21/07/2026,TER,Tarde,20
22/07/2026,QUA,Noite,7
23/07/2026,QUI,Noite,11
25/07/2026,SP,Noite,22
26/07/2026,DM,Manhã,17
26/07/2026,DN,Noite,15
27/07/2026,SEG,Tarde,23
28/07/2026,TER,Tarde,28
29/07/2026,QUA,Noite,7
30/07/2026,QUI,Noite,11
01/08/2026,SI,Noite,18
02/08/2026,DM,Manhã,29
02/08/2026,DN,Noite,16
03/08/2026,SEG,Tarde,17
04/08/2026,TER,Tarde,8
05/08/2026,QUA,Noite,23
06/08/2026,QUI,Noite,11
08/08/2026,SP,Noite,28
09/08/2026,DM,Manhã,9
09/08/2026,DN,Noite,17
10/08/2026,SEG,Tarde,10
11/08/2026,TER,Tarde,13
12/08/2026,QUA,Noite,30
13/08/2026,QUI,Noite,23
15/08/2026,SI,Noite,14
16/08/2026,DM,Manhã,17
16/08/2026,DN,Noite,16
17/08/2026,SEG,Tarde,18
18/08/2026,TER,Tarde,8
19/08/2026,QUA,Noite,24
20/08/2026,QUI,Noite,11
22/08/2026,SP,Noite,9
23/08/2026,DM,Manhã,10
23/08/2026,DN,Noite,13
24/08/2026,SEG,Tarde,15
25/08/2026,TER,Tarde,7
26/08/2026,QUA,Noite,30
27/08/2026,QUI,Noite,28
29/08/2026,SP,Noite,27
30/08/2026,DM,Manhã,21
30/08/2026,DN,Noite,16
31/08/2026,SEG,Tarde,15
01/09/2026,TER,Tarde,22
02/09/2026,QUA,Noite,18
03/09/2026,QUI,Noite,28
05/09/2026,SI,Noite,21
06/09/2026,DM,Manhã,13
06/09/2026,DN,Noite,16
07/09/2026,SEG,Tarde,22
08/09/2026,TER,Tarde,6
09/09/2026,QUA,Noite,25
10/09/2026,QUI,Noite,8
12/09/2026,SP,Noite,12
13/09/2026,DM,Manhã,13
13/09/2026,DN,Noite,21
14/09/2026,SEG,Tarde,29
15/09/2026,TER,Tarde,28
16/09/2026,QUA,Noite,30
17/09/2026,QUI,Noite,11
19/09/2026,SI,Noite,18
20/09/2026,DM,Manhã,9
20/09/2026,DN,Noite,13
21/09/2026,SEG,Tarde,28
22/09/2026,TER,Tarde,23
23/09/2026,QUA,Noite,25
24/09/2026,QUI,Noite,10
26/09/2026,SP,Noite,12
27/09/2026,DM,Manhã,9
27/09/2026,DN,Noite,11
28/09/2026,SEG,Tarde,15
29/09/2026,TER,Tarde,23
30/09/2026,QUA,Noite,17
01/10/2026,QUI,Noite,28
03/10/2026,SI,Noite,22
04/10/2026,DM,Manhã,13
04/10/2026,DN,Noite,15
05/10/2026,SEG,Tarde,6
06/10/2026,TER,Tarde,17
07/10/2026,QUA,Noite,18
08/10/2026,QUI,Noite,11
10/10/2026,SP,Noite,23
11/10/2026,DM,Manhã,9
11/10/2026,DN,Noite,13
12/10/2026,SEG,Tarde,15
13/10/2026,TER,Tarde,20
14/10/2026,QUA,Noite,21
15/10/2026,QUI,Noite,10
17/10/2026,SI,Noite,28
18/10/2026,DM,Manhã,9
18/10/2026,DN,Noite,11
19/10/2026,SEG,Tarde,22
20/10/2026,TER,Tarde,7
21/10/2026,QUA,Noite,6
22/10/2026,QUI,Noite,15
24/10/2026,SP,Noite,20
25/10/2026,DM,Manhã,21
25/10/2026,DN,Noite,28
26/10/2026,SEG,Tarde,23
27/10/2026,TER,Tarde,18
28/10/2026,QUA,Noite,9
29/10/2026,QUI,Noite,15
31/10/2026,SP,Noite,30
01/11/2026,DM,Manhã,10
01/11/2026,DN,Noite,13
02/11/2026,SEG,Tarde,25
03/11/2026,TER,Tarde,21
04/11/2026,QUA,Noite,22
05/11/2026,QUI,Noite,11
07/11/2026,SI,Noite,7
08/11/2026,DM,Manhã,28
08/11/2026,DN,Noite,17
09/11/2026,SEG,Tarde,10
10/11/2026,TER,Tarde,20
11/11/2026,QUA,Noite,29
12/11/2026,QUI,Noite,16
14/11/2026,SP,Noite,9
15/11/2026,DM,Manhã,21
15/11/2026,DN,Noite,13
16/11/2026,SEG,Tarde,10
17/11/2026,TER,Tarde,7
18/11/2026,QUA,Noite,25
19/11/2026,QUI,Noite,15
21/11/2026,SI,Noite,17
22/11/2026,DM,Manhã,30
22/11/2026,DN,Noite,13
23/11/2026,SEG,Tarde,8
24/11/2026,TER,Tarde,6
25/11/2026,QUA,Noite,9
26/11/2026,QUI,Noite,11
28/11/2026,SP,Noite,15
29/11/2026,DM,Manhã,30
29/11/2026,DN,Noite,13
30/11/2026,SEG,Tarde,25
